iter	Passed	Remaining
0	171	171615
1	172	86099
2	173	57570
3	174	43335
4	174	34787
5	175	29106
6	176	25005
7	176	21932
8	177	19547
9	178	17639
10	178	16080
11	179	14780
12	180	13677
13	180	12728
14	181	11908
15	182	11205
16	182	10568
17	183	10001
18	184	9500
19	184	9049
20	185	8640
21	185	8266
22	186	7923
23	187	7609
24	187	7320
25	188	7053
26	188	6805
27	189	6575
28	189	6360
29	190	6160
30	191	5972
31	191	5795
32	192	5631
33	192	5474
34	193	5328
35	193	5191
36	194	5059
37	195	4937
38	195	4821
39	196	4709
40	196	4601
41	197	4500
42	197	4402
43	198	4310
44	198	4222
45	199	4138
46	200	4056
47	200	3979
48	201	3905
49	201	3833
50	202	3764
51	202	3697
52	203	3634
53	203	3572
54	204	3513
55	205	3456
56	205	3401
57	206	3347
58	206	3296
59	207	3246
60	207	3198
61	208	3152
62	208	3107
63	209	3064
64	210	3022
65	210	2981
66	211	2940
67	211	2898
68	212	2861
69	212	2824
70	213	2789
71	213	2754
72	214	2720
73	214	2687
74	215	2655
75	215	2624
76	216	2594
77	216	2564
78	217	2535
79	217	2506
80	218	2479
81	219	2452
82	219	2426
83	220	2401
84	220	2374
85	221	2350
86	221	2324
87	222	2301
88	222	2278
89	223	2258
90	224	2237
91	224	2216
92	225	2196
93	225	2175
94	226	2155
95	226	2135
96	227	2116
97	227	2097
98	228	2079
99	228	2060
100	229	2043
101	229	2023
102	230	2006
103	230	1989
104	231	1973
105	232	1957
106	232	1941
107	233	1925
108	233	1910
109	234	1895
110	234	1881
111	235	1866
112	235	1851
113	236	1837
114	236	1823
115	237	1809
116	238	1797
117	238	1784
118	239	1771
119	239	1759
120	240	1746
121	241	1734
122	241	1721
123	242	1709
124	242	1698
125	243	1687
126	243	1676
127	244	1664
128	244	1653
129	245	1642
130	245	1631
131	246	1620
132	247	1610
133	247	1599
134	248	1589
135	248	1579
136	249	1569
137	249	1559
138	250	1549
139	250	1540
140	251	1530
141	251	1521
142	252	1512
143	253	1505
144	253	1496
145	254	1487
146	254	1479
147	255	1470
148	256	1462
149	256	1454
150	257	1445
151	257	1437
152	258	1429
153	258	1421
154	259	1413
155	259	1405
156	260	1397
157	260	1390
158	261	1382
159	261	1375
160	262	1367
161	263	1360
162	263	1353
163	264	1346
164	264	1339
165	265	1332
166	265	1325
167	266	1319
168	266	1312
169	267	1307
170	268	1300
171	268	1294
172	269	1287
173	269	1281
174	270	1275
175	270	1268
176	271	1262
177	272	1256
178	272	1250
179	273	1244
180	273	1237
181	273	1231
182	274	1225
183	275	1219
184	275	1214
185	276	1208
186	276	1202
187	277	1197
188	277	1191
189	278	1186
190	278	1180
191	279	1175
192	279	1170
193	280	1164
194	280	1159
195	281	1154
196	282	1150
197	282	1145
198	283	1140
199	283	1135
200	284	1130
201	285	1125
202	285	1121
203	286	1116
204	286	1111
205	287	1106
206	287	1102
207	288	1097
208	288	1092
209	289	1088
210	289	1083
211	290	1079
212	290	1074
213	291	1070
214	291	1066
215	292	1061
216	293	1057
217	293	1053
218	294	1048
219	294	1044
220	295	1040
221	295	1036
222	296	1031
223	296	1028
224	297	1024
225	298	1021
226	298	1017
227	299	1013
228	299	1009
229	300	1006
230	301	1002
231	301	998
232	302	995
233	302	991
234	303	987
235	304	984
236	304	980
237	305	977
238	305	974
239	306	970
240	307	967
241	307	963
242	308	960
243	308	956
244	309	953
245	310	950
246	310	946
247	311	943
248	311	940
249	312	936
250	312	933
251	313	930
252	314	927
253	314	923
254	315	920
255	315	917
256	316	914
257	316	911
258	317	908
259	318	905
260	318	902
261	319	899
262	319	896
263	320	893
264	321	890
265	321	887
266	322	884
267	322	881
268	323	878
269	323	875
270	324	872
271	324	869
272	325	866
273	325	863
274	326	860
275	327	858
276	327	856
277	328	853
278	329	850
279	329	847
280	330	844
281	330	841
282	331	839
283	331	836
284	332	833
285	332	830
286	333	827
287	333	825
288	334	822
289	334	819
290	335	817
291	335	814
292	336	812
293	337	809
294	337	806
295	338	804
296	338	801
297	339	799
298	339	796
299	340	794
300	340	791
301	341	789
302	342	787
303	342	785
304	343	782
305	344	780
306	344	777
307	345	775
308	345	772
309	346	770
310	346	768
311	347	765
312	347	763
313	348	760
314	348	758
315	349	756
316	349	753
317	350	751
318	350	749
319	351	747
320	352	744
321	352	742
322	353	740
323	353	737
